station,catchment-no,district,latitude,longitude
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,"250 42"" N","720 52"" E"
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,"250 42"" N","720 52"" E"
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,"250 42"" N","720 52"" E"
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,"250 42"" N","720 52"" E"
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,,
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,"250 42"" N","720 52"" E"
bhadragoan *-jalore,108.0,jalore,"240 57"" N","720 33"" E"
bithan *-jalore,108.0,jalore,"240 57"" N","720 33"" E"
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,,
bhadragoan *-jalore,108.0,jalore,,
bithana *-jalore,108.0,jalore,,
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,,
bhadragoan *-jalore,108.0,jalore,,
bithana *-jalore,108.0,jalore,,
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,"250 42"" N","720 52"" E"
bithan *-jalore,108.0,jalore,"240 57"" N","720 33"" E"
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,,
bhadragoan *-jalore,108.0,jalore,,
bithana *-jalore,108.0,jalore,,
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,,
bhadragoan *-jalore,108.0,jalore,,
bithana *-jalore,108.0,jalore,,
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,,
bhadragoan *-jalore,108.0,jalore,,
bithana *-jalore,108.0,jalore,,
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,,
bhadragoan *-jalore,108.0,jalore,,
bithana *-jalore,108.0,jalore,,
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,,
bhadragoan *-jalore,108.0,jalore,,
bithana *-jalore,108.0,jalore,,
jalore-jalore,108.0,jalore,"250 21"" N","720 37"" E"
sanchore-jalore,108.0,jalore,"240 45"" N","710 46"" E"
jaswantpura-jalore,108.0,jalore,"240 48"" N","720 28"" E"
bhinmal-jalore,108.0,jalore,"250 01"" N","720 16"" E"
ahore-jalore,108.0,jalore,"250 20"" N","720 45"" E"
bankli *-jalore,108.0,jalore,"250 42"" N","720 52"" E"
bithan *-nan,108.0,nan,"240 57"" N","720 33"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
talabshahi-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar-dholpur,,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
talabshahi-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar-dholpur,,dholpur,,
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
talabshahi *-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar *-dholpur,,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
talabshahi-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar-dholpur,,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
talabshahi-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar-dholpur,,dholpur,,
angai-dholpur,,dholpur,,"770 39"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
angai *-dholpur,403.0,dholpur,"260 36"" N","770 29"" E"
talabshahi *-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar *-dholpur,,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
talabshahi-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar-dholpur,,dholpur,,
angai-dholpur,,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
talabshahi *-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar *-dholpur,,dholpur,,
angai *-dholpur,403.0,dholpur,"260 36"" N","770 29"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
talabshahi-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar-dholpur,,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
talabshahi *-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar *-dholpur,,dholpur,,
angai *-dholpur,403.0,dholpur,"260 36"" N","770 29"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
talabshahi-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar-dholpur,,dholpur,,
angai-dholpur,403.0,dholpur,"260 36"" N","770 29"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
talabshahi-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar-dholpur,,dholpur,,
dholpur (irri)-dholpur,,dholpur,,"770 50"" E"
parbati dam *-dholpur,,dholpur,,"770 50"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
talabshahi-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar-dholpur,,dholpur,,
parbati dam(irr)-dholpur,,dholpur,,"770 50"" E"
angai(irr)-dholpur,,dholpur,,"770 50"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur (a)-dholpur,403.0,dholpur,"260 40"" N","770 50"" E"
talabshahi-dholpur,403.0,dholpur,"260 37"" N","770 39"" E"
urmila sagar-dholpur,,dholpur,,
angai-dholpur,,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
talabsahi*-dholpur,,dholpur,,
urmilasagar*-dholpur,,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
dholpur*-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
talabshahi*-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
urmilasagar*-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
angai*-dholpur,403.0,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
talabshahi*-dholpur,403.0,dholpur,,
dholpur*-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
urmilasagar*-dholpur,403.0,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
talabshahi*-dholpur,403.0,dholpur,,
dholpur*-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
urmilasagar*-dholpur,403.0,dholpur,"260 38"" N","770 50"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
talabshahi*-dholpur,403.0,dholpur,,
angai*-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
urmilasagar*-dholpur,403.0,dholpur,"260 40"" N","770 45"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
talabshahi*-dholpur,403.0,dholpur,,
dholpur*-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
urmilasagar*-dholpur,403.0,dholpur,"260 40"" N","770 45"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
talabshahi*-dholpur,403.0,dholpur,,
dholpur*-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
urmilasagar*-dholpur,403.0,dholpur,"260 40"" N","770 45"" E"
angai*-dholpur,403.0,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
talabshahi*-dholpur,403.0,dholpur,,
dholpur*-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
urmilasagar*-dholpur,403.0,dholpur,"260 40"" N","770 45"" E"
angai*-dholpur,403.0,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
talabshahi*-dholpur,403.0,dholpur,,
dholpur*-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
urmilasagar*-dholpur,403.0,dholpur,"260 40"" N","770 45"" E"
angai*-dholpur,403.0,dholpur,"260 36"" N","770 27"" E"
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
talabshahi*-dholpur,403.0,dholpur,,
dholpur*-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
urmilasagar*-dholpur,403.0,dholpur,"260 40"" N","770 45"" E"
angai*-dholpur,403.0,dholpur,"260 36"" N","770 27"" E"
bari*-dholpur,403.0,dholpur,,
baseri*-dholpur,403.0,dholpur,,
sepau*-dholpur,403.0,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
talabshahi*-dholpur,403.0,dholpur,,
dholpur*-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
urmilasagar*-dholpur,403.0,dholpur,"260 40"" N","770 45"" E"
angai*-dholpur,403.0,dholpur,"260 36"" N","770 27"" E"
bari*-dholpur,403.0,dholpur,,
bari-dholpur,403.0,dholpur,"260 39"" N","770 36"" E"
baseri-dholpur,403.0,dholpur,"260 45"" N","770 32"" E"
dholpur-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
rajakhera-dholpur,403.0,dholpur,"260 54"" N","780 11"" E"
sepau-dholpur,403.0,dholpur,"260 49"" N","770 45"" E"
sirmathura-dholpur,403.0,dholpur,"260 31"" N","770 22"" E"
talabshahi*-dholpur,403.0,dholpur,,
dholpur*-dholpur,403.0,dholpur,"260 42"" N","770 53"" E"
urmilasagar*-dholpur,403.0,dholpur,"260 40"" N","770 45"" E"
angai*-dholpur,403.0,dholpur,"260 36"" N","770 27"" E"
bari*-dholpur,403.0,dholpur,,
udaipur (a)-udaipur,,udaipur,"240 35"" N","730 42"" E"
udaipur-udaipur,105.0,udaipur,"240 11"" N","730 55"" E"
rajsamand-udaipur,106.0,udaipur,"250 45"" N","740 05"" E"
sarara-udaipur,105.0,udaipur,"230 59"" N","730 36"" E"
bhim-udaipur,106.0,udaipur,"240 04"" N","730 53"" E"
kherwara-udaipur,106.0,udaipur,"240 24"" N","730 28"" E"
khamnor-udaipur,106.0,udaipur,"240 35"" N","730 42"" E"
kumbhalgarh-udaipur,106.0,udaipur,"240 35"" N","730 42"" E"
amet-udaipur,106.0,udaipur,"250 10"" N","730 34"" E"
devgarh-udaipur,106.0,udaipur,"250 19"" N","730 56"" E"
vallabh nagar-udaipur,106.0,udaipur,"250 19"" N","730 56"" E"
mavli-udaipur,106.0,udaipur,"250 34"" N","730 58"" E"
bhopalsagar-udaipur,406.0,udaipur,"240 47"" N","730 59"" E"
lasadiya-udaipur,406.0,udaipur,"240 47"" N","730 59"" E"
salumber-udaipur,105.0,udaipur,"240 08"" N","740 03"" E"
phalasiya-udaipur,106.0,udaipur,"240 22"" N","730 10"" E"
kotra-udaipur,106.0,udaipur,"240 22"" N","730 10"" E"
gogunda-udaipur,,udaipur,,
railmagra-udaipur,106.0,udaipur,"250 02"" N","740 08"" E"
nathdwara-udaipur,106.0,udaipur,"240 55"" N","730 50"" E"
jhadol (a)-udaipur,,udaipur,"240 14"" N","750 57"" E"
kotra cantt (a)-udaipur,105.0,udaipur,"230 59"" N","730 36"" E"
tarpal (a)-udaipur,,udaipur,"240 07"" N","730 43"" E"
udaipur (a)-udaipur,,udaipur,"240 35"" N","730 42"" E"
udaipur-udaipur,105.0,udaipur,"240 11"" N","730 55"" E"
rajsamand-udaipur,106.0,udaipur,"250 45"" N","740 05"" E"
sarara-udaipur,105.0,udaipur,"230 59"" N","730 36"" E"
bhim-udaipur,106.0,udaipur,"240 04"" N","730 53"" E"
kherwara-udaipur,106.0,udaipur,"240 24"" N","730 28"" E"
kumbhalgarh-udaipur,106.0,udaipur,"240 35"" N","730 42"" E"
amet-udaipur,106.0,udaipur,"250 10"" N","730 34"" E"
devgarh-udaipur,106.0,udaipur,"250 19"" N","730 56"" E"
vallabh nagar-udaipur,106.0,udaipur,"250 19"" N","730 56"" E"
mavli-udaipur,106.0,udaipur,"250 34"" N","730 58"" E"
lasadiya-udaipur,406.0,udaipur,"240 47"" N","730 59"" E"
salumber-udaipur,105.0,udaipur,"240 08"" N","740 03"" E"
phalasiya-udaipur,106.0,udaipur,"240 22"" N","730 10"" E"
kotra-udaipur,106.0,udaipur,"240 22"" N","730 10"" E"
gogunda-udaipur,,udaipur,,
railmagra-udaipur,106.0,udaipur,"250 02"" N","740 08"" E"
nathdwara-udaipur,106.0,udaipur,"240 55"" N","730 50"" E"
kotra cantt (a)-udaipur,,udaipur,"240 14"" N","750 57"" E"
jadol (a)-udaipur,105.0,udaipur,"230 59"" N","730 36"" E"
tarpal (a)-udaipur,,udaipur,"240 07"" N","730 43"" E"
naglia *-udaipur,,udaipur,"240 50"" N","730 50"" E"
bagolia tank *-udaipur,,udaipur,"240 17"" N","730 43"" E"
rakhabdev *-udaipur,,udaipur,,
kewara *-udaipur,,udaipur,"240 47"" N","730 49"" E"
jaisamand *-udaipur,,udaipur,"240 42"" N","730 54"" E"
udaipur (a)-udaipur,,udaipur,"240 35"" N","730 42"" E"
kotra cantt (a)-udaipur,105.0,udaipur,"240 11"" N","730 55"" E"
jhadol (a)-udaipur,106.0,udaipur,"250 45"" N","740 05"" E"
tarpal (a)-udaipur,105.0,udaipur,"230 59"" N","730 36"" E"
udaipur  (girava)-udaipur,106.0,udaipur,"240 04"" N","730 53"" E"
gogunda-udaipur,106.0,udaipur,"240 24"" N","730 28"" E"
nathdwara-udaipur,106.0,udaipur,"240 35"" N","730 42"" E"
railmagra-udaipur,106.0,udaipur,"250 10"" N","730 34"" E"
kumbhalgarh-udaipur,106.0,udaipur,"250 19"" N","730 56"" E"
